Flir;TemperatureBulbo2(Cm);TemperatureBulbo5(Cm);TemperatureBulbo10(Cm);TemperatureBulbo20(Cm);TemperatureBulbo30(Cm)
19.719;17.6;17.8;17.3;19.4;19.5
34.936;34.8;32.7;27.2;22.5;21.6
7.777;12.5;13.7;16;19.7;19.7
6.981;13.7;14.8;16.9;20.6;20.2
23.313;18.7;18.4;18.3;20.3;20.3
38.411;36.7;33.5;28.2;23.4;22.5
36.518;36.5;33.8;28.7;23.8;22.2
4.438;11.8;13.6;16.9;20.5;20.1
22.464;18.1;17.8;17.5;20.5;20.2
22.404;17.8;18.2;17.8;20.4;20
5.28;11.6;13.6;16.4;20.6;20.3
11.07;13.3;14.2;16.3;20.4;20.2
22.79;18.3;18.5;18;20.2;20.1
36.83;35.1;31.8;27;22.8;21.8
36.436;36.8;33.9;28.7;23.7;22.2
11.471;13.4;14.9;17.5;21.2;20.8
14.772;15.5;16;17.4;20.6;20.4
14.865;16.4;16.3;16.2;19;19.2
35.585;34.6;31.8;26.5;21.6;21.2
6.911;12.4;13.6;16;19.7;19.7
8.315;13.7;15.4;17.7;20.6;20.4
23.689;19.2;18.6;18.5;20.6;20.5
38.671;36;32.6;28.5;23.6;23
39.064;35.2;33.2;28.4;22.4;21.6
8.498;16.4;16.6;18.5;21.4;20.8
24.6;23.2;20.6;19.5;21;21.2
23.134;26.4;23.2;20.4;21.6;21.6
37.824;38.8;36.7;31.5;26;24.7
9.962;15.4;16.4;18;22.4;22
6.911;17.2;17.6;19.5;22.9;22.7
24.136;27.5;23.7;21.3;22.7;22.5
35.922;39.7;38.3;32.8;27.2;25.5
36.859;43.4;39.4;33.2;27.6;27.4
9.864;15.6;17.2;19.7;23.6;23.2
23.386;28.5;24.6;21.6;23.3;23.5
23.386;29.3;25.3;22;23.5;23.7
36.159;45.3;41.2;33.8;27.6;26.8
7.314;16.5;18;20.5;24.4;24.1
5.011;17.5;18.7;21.4;25.2;24.4
25.672;30.4;26.3;23.8;24.6;24.5
38.816;44;40.6;34.4;28.6;28
